Name,Java
[Balanced Binary Tree](https://leetcode.com/problems/balanced-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/BalancedBinaryTree.java)
[Binary Search](https://leetcode.com/problems/binary-search),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/BinarySearch.java)
[Construct Binary Tree from Preorder and Inorder Traversal](https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/ConstructBinaryTreeFromPreorderAndInorderTraversal.java)
[Find First and Last Position of Element in Sorted Array](https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindFirstAndLastPositionOfElementInSortedArray.java)
[Find Minimum in Rotated Sorted Array](https://leetcode.com/problems/find-minimum-in-rotated-sorted-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindMinimumInRotatedSortedArray.java)
[Find Smallest Letter Greater Than Target](https://leetcode.com/problems/find-smallest-letter-greater-than-target),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/FindSmallestLetterGreaterThanTarget.java)
[Get the Maximum Score](https://leetcode.com/problems/get-the-maximum-score),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/GetTheMaximumScore.java)
[Insert into a Binary Search Tree](https://leetcode.com/problems/insert-into-a-binary-search-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/InsertIntoABinarySearchTree.java)
[Invert Binary Tree](https://leetcode.com/problems/invert-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/InvertBinaryTree.java)
[Linked List Cycle](https://leetcode.com/problems/linked-list-cycle),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/linked_list/iterative/LinkedListCycle.java)
[Maximum Depth of Binary Tree](https://leetcode.com/problems/maximum-depth-of-binary-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/MaximumDepthOfBinaryTree.java)
[Middle of the Linked List](https://leetcode.com/problems/middle-of-the-linked-list),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/linked_list/iterative/MiddleOfTheLinkedList.java)
[Minimum Consecutive Cards to Pick Up](https://leetcode.com/problems/minimum-consecutive-cards-to-pick-up),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/MinimumConsecutiveCardsToPickUp.java)
[Minimum Window Substring](https://leetcode.com/problems/minimum-window-substring),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/MinimumWindowSubstring.java)
[Peak Index in a Mountain Array](https://leetcode.com/problems/peak-index-in-a-mountain-array),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/PeakIndexInAMountainArray.java)
[Product of Array Except Self](https://leetcode.com/problems/product-of-array-except-self),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/ProductOfArrayExceptSelf.java)
[Range Sum Query - Immutable](https://leetcode.com/problems/range-sum-query---immutable),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/RangeSumQueryImmutable.java)
[Sqrt(x)](https://leetcode.com/problems/sqrtx),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/math/iterative/SqrtX.java)
[Subarray Sum Equals K](https://leetcode.com/problems/subarray-sum-equals-k),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/SubarraySumEqualsK.java)
[Subtree of Another Tree](https://leetcode.com/problems/subtree-of-another-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/SubtreeOfAnotherTree.java)
[Two Sum](https://leetcode.com/problems/two-sum),[:arrow_right_hook:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/array/iterative/TwoSum.java)
[Validate Binary Search Tree](https://leetcode.com/problems/validate-binary-search-tree),[:arrows_counterclockwise:](https://github.com/leowajda/eureka-java/blob/master/src/main/java/tree/recursive/ValidateBinarySearchTree.java)
